"","X","id","fsecurity","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability"
"286",286,20190902354700,0,1,1,0,1,0,0,0,0,0,0
"287",287,20190902355300,0,1,1,0,1,0,0,0,0,0,0
"288",288,20190902355500,NA,2,1,0,2,0,0,0,0,2,0
"289",289,20190902356400,0,2,1,0,2,0,0,0,0,2,1
"290",290,20190902357400,0,2,1,0,2,0,0,0,0,2,0
"291",291,20190902360300,NA,2,1,0,2,0,0,2,0,2,0
"292",292,20190902360900,0,3,1,1,0,0,0,0,2,2,0
"293",293,20190902361200,0,4,3,2,0,0,0,2,2,0,0
"294",294,20190902361300,0,2,1,0,0,0,0,2,2,2,0
"295",295,20190902363200,NA,1,0,0,0,0,2,0,2,0,0
"296",296,20190902363800,0,1,0,0,0,0,0,0,1,0,0
"297",297,20190902364500,NA,2,1,0,0,0,0,0,2,2,0
"298",298,20190902364700,0,1,1,0,1,0,1,1,0,0,1
"299",299,20190902365900,0,2,1,0,2,0,0,0,0,2,1
"300",300,20190902366100,0,4,2,2,0,0,0,2,1,2,0
"301",301,20190902366500,NA,4,1,2,0,0,0,1,2,2,0
"302",302,20190902369000,0,2,1,0,2,0,0,0,0,2,1
"303",303,20190902369400,0,5,1,3,0,0,0,2,2,2,0
"304",304,20190902371400,0,1,0,0,0,0,0,1,1,0,0
"305",305,20190902371800,0,2,1,0,0,0,0,0,2,2,0
"306",306,20190902373200,0,2,1,0,2,0,0,1,1,2,0
"307",307,20190902375200,0,4,1,2,0,0,0,1,2,2,0
"308",308,20190902375700,0,4,2,2,0,0,0,2,2,2,0
"309",309,20190902376200,0,1,1,0,1,0,0,1,0,0,0
"310",310,20190902376300,0,1,0,0,0,0,0,0,1,0,0
"311",311,20190902376500,NA,4,3,3,0,0,0,0,1,0,1
"312",312,20190902376800,0,1,1,0,0,1,0,0,1,0,0
"313",313,20190902377100,0,2,1,0,1,0,0,0,2,2,0
"314",314,20190902379200,0,2,1,0,0,0,0,0,2,0,0
"315",315,20190902379800,NA,4,2,2,0,0,0,0,2,2,0
"316",316,20190902380300,0,4,1,2,0,0,0,0,2,2,0
"317",317,20190902380900,0,1,1,0,1,0,0,0,0,0,1
"318",318,20190902381600,NA,2,1,0,0,0,0,2,2,2,0
"319",319,20190902382500,0,2,1,0,2,0,0,0,2,2,1
"320",320,20190902382700,NA,4,2,2,0,0,0,2,2,2,0
"321",321,20190902383300,NA,3,1,1,0,0,0,2,1,2,0
"322",322,20190902383900,NA,2,1,0,2,0,0,0,0,2,0
"323",323,20190902384100,0,5,2,2,0,0,0,2,3,2,0
"324",324,20190902385500,1,2,1,0,0,0,0,1,2,0,0
"325",325,20190902386900,0,2,1,0,0,0,0,1,2,0,0
"326",326,20190902387200,7,3,2,0,2,3,0,0,0,2,0
"327",327,20190902387500,0,1,1,0,1,0,0,1,0,0,1
"328",328,20190902390000,0,4,2,2,0,0,0,1,2,2,0
"329",329,20190902390800,0,4,1,2,0,0,0,2,2,2,0
"330",330,20190902393200,0,1,0,0,0,0,0,0,4,0,0
"331",331,20190902395700,0,4,2,0,0,0,0,3,4,2,1
